"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 09:25:48 GMT 2024","Mon Aug 26 09:25:58 GMT 2024","9897","tests.ui_tests","widgets_test","TestWidgets","","","Deleting all added colors from multiple color names field",""
"passed","Mon Aug 26 09:25:37 GMT 2024","Mon Aug 26 09:25:40 GMT 2024","2886","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Click button to see alert",""
"passed","Mon Aug 26 09:25:56 GMT 2024","Mon Aug 26 09:26:01 GMT 2024","5820","tests.ui_tests","interactions_test","TestInteractions","","","Accept droppable",""
"passed","Mon Aug 26 09:25:59 GMT 2024","Mon Aug 26 09:26:05 GMT 2024","5914","tests.ui_tests","widgets_test","TestWidgets","","","test_single_color_name_field",""
"passed","Mon Aug 26 09:25:24 GMT 2024","Mon Aug 26 09:25:35 GMT 2024","10727","tests.ui_tests","forms_test","TestForms","","","Filling in the registration form for students",""
"passed","Mon Aug 26 09:25:37 GMT 2024","Mon Aug 26 09:25:39 GMT 2024","2078","tests.api_tests","book_store_test","TestBookStore","","","Delete book in the user profile",""
"passed","Mon Aug 26 09:26:18 GMT 2024","Mon Aug 26 09:26:22 GMT 2024","3635","tests.ui_tests","widgets_test","TestWidgets","","","Slider value change",""
"passed","Mon Aug 26 09:26:20 GMT 2024","Mon Aug 26 09:26:25 GMT 2024","5217","tests.ui_tests","elements_test","TestElements","","","Web table delete person",""
"passed","Mon Aug 26 09:26:52 GMT 2024","Mon Aug 26 09:26:53 GMT 2024","1536","tests.ui_tests","elements_test","TestElements","","","API moved",""
"passed","Mon Aug 26 09:25:50 GMT 2024","Mon Aug 26 09:25:54 GMT 2024","4765","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Alert confirm box will appear",""
"passed","Mon Aug 26 09:26:48 GMT 2024","Mon Aug 26 09:26:49 GMT 2024","1565","tests.ui_tests","elements_test","TestElements","","","API created",""
"passed","Mon Aug 26 09:26:12 GMT 2024","Mon Aug 26 09:26:17 GMT 2024","5193","tests.ui_tests","widgets_test","TestWidgets","","","Change date and time",""
"passed","Mon Aug 26 09:25:23 GMT 2024","Mon Aug 26 09:25:32 GMT 2024","8220","tests.ui_tests","elements_test","TestElements","","","Text box",""
"passed","Mon Aug 26 09:27:01 GMT 2024","Mon Aug 26 09:27:04 GMT 2024","3796","tests.ui_tests","widgets_test","TestWidgets","","","Click to select items from multiselect drop down",""
"passed","Mon Aug 26 09:25:24 GMT 2024","Mon Aug 26 09:25:24 GMT 2024","369","tests.api_tests","account_test","TestAccount","","","User authorization status",""
"passed","Mon Aug 26 09:25:44 GMT 2024","Mon Aug 26 09:25:47 GMT 2024","2541","tests.ui_tests","elements_test","TestElements","","","Impressive radio button",""
"passed","Mon Aug 26 09:25:24 GMT 2024","Mon Aug 26 09:25:30 GMT 2024","6589","tests.ui_tests","widgets_test","TestWidgets","","","First accordian card",""
"passed","Mon Aug 26 09:25:40 GMT 2024","Mon Aug 26 09:25:41 GMT 2024","501","tests.api_tests","book_store_test","TestBookStore","","","Checking if the book information from the get request matches the books in the list",""
"broken","Mon Aug 26 09:26:40 GMT 2024","Mon Aug 26 09:26:47 GMT 2024","6942","tests.ui_tests","widgets_test","TestWidgets","","","Appearance tool tips",""
"passed","Mon Aug 26 09:25:39 GMT 2024","Mon Aug 26 09:25:45 GMT 2024","5222","tests.ui_tests","interactions_test","TestInteractions","","","Resizable box expected maximum and minimum size",""
